StudyID,GroupID,ExperimentID,EffectID,Author,Year,Journal,SpeciesCom,SpeciesSci,Class,WildLabRear,WildLabExp,Sex,ManipLifeStage,ManipLifeStage+,ManipType,ManipDirection,ManipDuration,ManipOffset,ManipPostDiet,ManipConditionEffect,ManipGroups,ManipNotes,ExpLifeStage,ExpAge,ExpType,ExpVar,RiskContext,ExpVarUnit,ExpRepeated,ExpNotes,nLC,meanLC,sdLC,seLC,CILC,nHC,meanHC,sdHC,seHC,CIHC,TestStatType,TestStatValue,df,P,SharedGroup,SharedN,Sharedmean,Sharedsd,RiskEffectDirection,Marginalised,DataLocation,DataPresentation,Exclude,ExclusionReason,Extraction notes
CD010,EG004B,EX006I,ES0040,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,male,adult,upon pupation,quality,restrict,5.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",light dark test,time spend in dark,novelenvironment_lightdarktest,sec,yes,"individuals placed in a box, half covered half exposed, time spend in dark side recorded",18,156.55556,65.06397,,,15,164.66667,69.62903,,,,,,,S0040,NA,NA,NA,negative,no,CD010_CD216_Data_Flour_Beetle_Stress.xlsx,author correspondence,,,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004B,EX006I,ES0041,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,male,adult,upon pupation,quality,restrict,46.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",light dark test,time spend in dark,novelenvironment_lightdarktest,sec,yes,"individuals placed in a box, half covered half exposed, time spend in dark side recorded",18,153.41667,70.35274,,,15,148.63333,96.2416,,,,,,,S0041,NA,NA,NA,negative,no,CD010_CD216_Data_Flour_Beetle_Stress.xlsx,author correspondence,,,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD011,EG005,EX007,ES0042,Naslund,2017,Behavioral Ecology and Sociobiology,brown trout,Salmo trutta,ray-finned fish,wild,lab,unknown,juvenile,fry 'first summer of life',quantity,restrict,9,7.5,control,yes (length; mass; growth rate; condition factor),no,high (20% of body mass ration per day) v low (2% ration),juvenile,unknown,novel environment,activity,novelenvironment_activity,unknown,no,"individuals placed in open field, filmed for 30mins",58,280.7586207,100.3873743,,,73,273.5479452,107.1572107,,,,,,,S0042,NA,NA,NA,positive,no,Figshare repository (https://doi. org/10.6084/m9.figshare.4789492),raw,,,"(Norumsån population) trials run over 2 days, so ManipOffset averaged as time to each test"
CD011,EG006,EX008,ES0043,Naslund,2017,Behavioral Ecology and Sociobiology,brown trout,Salmo trutta,ray-finned fish,wild,lab,unknown,juvenile,fry 'first summer of life',quantity,restrict,9,7.5,control,yes (length; mass; growth rate; condition factor),no,high (20% of body mass ration per day) v low (2% ration),juvenile,unknown,novel environment,activity,novelenvironment_activity,unknown,no,"individuals placed in open field, filmed for 30mins",67,284.1791045,130.1372149,,,71,293.4647887,135.2925751,,,,,,,S0043,NA,NA,NA,positive,no,Figshare repository (https://doi. org/10.6084/m9.figshare.4789492),raw,,,"(Stenunge å population) trials run over 2 days, so ManipOffset averaged as time to each test"
CD013,EG007,EX009,ES0044,Naslund,2016,Behavioral Ecology and Sociobiology,brown trout,Salmo trutta,ray-finned fish,wild,lab,unknown,juvenile,fry 'recently emerged fry',quantity,restrict,12,26,"high and low diet groups, then to satiation on day before trials",yes (growth rate; mass; fork length),no,high (10 prey items per day) low (2 prey items per day),juvenile,unknown,novel environment,activity,novelenvironment_activity,count,yes,"individuals placed in 'forced open field', number of grid lines crossed in 5 mins",42,107.258567,36.305213,5.602015986,,46,117.453271,36.29828458,5.351890083,,,,,,S0044,NA,NA,NA,positive,yes,Figure 2d,figure,,,"mean estimates from GLMM and 95% Cis reported, sd calculated from metaDigitise, 2 trials so average used for ManipOffset"
CD013,EG007,EX009,ES0045,Naslund,2016,Behavioral Ecology and Sociobiology,brown trout,Salmo trutta,ray-finned fish,wild,lab,unknown,juvenile,fry 'recently emerged fry',quantity,restrict,24,1,satiation,yes (growth rate; mass; fork length),no,high (10-18 prey items per day) low (2-4 prey items per day),juvenile,unknown,novel environment,activity,novelenvironment_activity,count,yes,"individuals placed in 'forced open field', number of grid lines crossed in 5 mins",43,119.0051076,31.32261032,4.776653293,,45,106.4553479,40.1540931,5.985818783,,,,,,S0045,NA,NA,NA,positive,yes,Figure 2d,figure,,,"mean estimates from GLMM and 95% Cis reported, sd calculated from metaDigitise, 2 trials so average used for ManipOffset and ManipDuration"
CD013,EG007,EX009,ES0046,Naslund,2016,Behavioral Ecology and Sociobiology,brown trout,Salmo trutta,ray-finned fish,wild,lab,unknown,juvenile,fry 'recently emerged fry',quantity,restrict,12,26,"high and low diet groups, then to satiation on day before trials",yes (growth rate; mass; fork length),no,high (10 prey items per day) low (2 prey items per day),juvenile,unknown,novel object,distance to object,novelobject_response,none,yes,"novel object lowered into the same experimental arena as above, average zone recorded (1 closest, 4 is farthest)",42,2.66975968,0.244466387,0.037721983,,46,2.552336449,0.291025059,0.042909304,,,,,,S0046,NA,NA,NA,negative,yes,Figure 2e,figure,,,"mean estimates from GLMM and 95% Cis reported, sd calculated from metaDigitise, 2 trials so average used for ManipOffset"
CD013,EG007,EX009,ES0047,Naslund,2016,Behavioral Ecology and Sociobiology,brown trout,Salmo trutta,ray-finned fish,wild,lab,unknown,juvenile,fry 'recently emerged fry',quantity,restrict,24,1,satiation,yes (growth rate; mass; fork length),no,high (10-18 prey items per day) low (2-4 prey items per day),juvenile,unknown,novel object,distance to object,novelobject_response,none,yes,"novel object lowered into the same experimental arena as above, average zone recorded (1 closest, 4 is farthest)",43,2.582199522,0.283330215,0.043207453,,45,2.633395639,0.266931474,0.039791795,,,,,,S0047,NA,NA,NA,negative,yes,Figure 2e,figure,,,"mean estimates from GLMM and 95% Cis reported, sd calculated from metaDigitise, 2 trials so average used for ManipOffset and ManipDuration"
CD014,EG008,EX010,ES0048,Lichtenstein,2016,Behavioral Ecology and Sociobiology,desert grass spider,Agelenopsis aperta,arachnid,wild,lab,female,adult,Mature females',quantity,restrict,49,3,control,yes (body condition),control_HC3,high (2 prey per week) low (0.33 prey per week),adult,unknown,aggressive response (novel object),inverse latency to attack,novelobject_response,sec,yes,"object (piece of paper) introduced to web, time to attack the object recorded",19,217.3202614,53.41787921,12.25490196,,20,162.5816993,47.49817599,10.62091503,,,,,,S0048,20,162.5816993,47.49817599,positive,no,Figure 2a,figure,exclude_all,paper subject to retraction,"Data for agressiveness extracted from all comparisons, only extremes available for boldness"
CD014,EG008,EX010,ES0049,Lichtenstein,2016,Behavioral Ecology and Sociobiology,desert grass spider,Agelenopsis aperta,arachnid,wild,lab,female,adult,Mature females',quantity,restrict,49,3,control,yes (body condition),control_HC3,high (2 prey per week) low (0.33 prey per week),adult,unknown,aggressive response (novel object),inverse latency to attack,novelobject_response,sec,yes,"object (piece of paper) introduced to web, time to attack the object recorded",20,187.9493464,57.29675076,12.81194296,,20,162.5816993,47.49817599,10.62091503,,,,,,S0048,20,162.5816993,47.49817599,positive,no,Figure 2a,figure,exclude_all,paper subject to retraction,"Data for agressiveness extracted from all comparisons, only extremes available for boldness"
CD014,EG008,EX010,ES0050,Lichtenstein,2016,Behavioral Ecology and Sociobiology,desert grass spider,Agelenopsis aperta,arachnid,wild,lab,female,adult,Mature females',quantity,restrict,49,3,control,yes (body condition),control_HC3,high (2 prey per week) low (0.33 prey per week),adult,unknown,aggressive response (novel object),inverse latency to attack,novelobject_response,sec,yes,"object (piece of paper) introduced to web, time to attack the object recorded",20,177.699792,60.1615883,13.45254011,,20,162.5816993,47.49817599,10.62091503,,,,,,S0048,20,162.5816993,47.49817599,positive,no,Figure 2a,figure,exclude_all,paper subject to retraction,"Data for agressiveness extracted from all comparisons, only extremes available for boldness"
CD014,EG008,EX011,ES0051,Lichtenstein,2016,Behavioral Ecology and Sociobiology,desert grass spider,Agelenopsis aperta,arachnid,wild,lab,female,adult,Mature females',quantity,restrict,49,3,control,yes (body condition),no,high (2 prey per week) low (0.33 prey per week),adult,unknown,predator response,latency to move,predation_response,sec,yes,"wind blown on spider (simulated predator attack), time taken to begin moving after 'death feign' response",19,,,,,20,,,,,z,0.32,,0.009,S0049,NA,NA,NA,negative,no,Table 1,table,exclude_all,paper subject to retraction,"Data for agressiveness extracted from all comparisons, only extremes available for boldness"
CD014,EG009,EX012,ES0052,Lichtenstein,2016,Behavioral Ecology and Sociobiology,western black widow,Latrodectus hesperus,arachnid,wild,lab,female,adult,Mature females',quantity,restrict,49,3,control,yes (body condition),control_HC4,high (3 prey per week) low (0.33 prey per week),adult,unknown,aggressive response (novel object),proportion attacking,novelobject_response,proportion (treatment level),yes,"object (piece of paper) introduced to web, time to attack/ proportion attacking the object recorded",30,0.370491803,0.143664933,0.026229508,,30,0.272131148,0.16162305,0.029508197,,,,,,S0050,30,0.272131148,0.16162305,positive,no,Figure 2b,figure,exclude_all,paper subject to retraction,"Data for agressiveness extracted from all comparisons, only extremes available for boldness"
CD014,EG009,EX012,ES0053,Lichtenstein,2016,Behavioral Ecology and Sociobiology,western black widow,Latrodectus hesperus,arachnid,wild,lab,female,adult,Mature females',quantity,restrict,49,3,control,yes (body condition),control_HC4,high (3 prey per week) low (0.33 prey per week),adult,unknown,aggressive response (novel object),proportion attacking,novelobject_response,proportion (treatment level),yes,"object (piece of paper) introduced to web, time to attack/ proportion attacking the object recorded",27,0.357466468,0.160298592,0.030849478,,30,0.272131148,0.16162305,0.029508197,,,,,,S0050,30,0.272131148,0.16162305,positive,no,Figure 2b,figure,exclude_all,paper subject to retraction,"Data for agressiveness extracted from all comparisons, only extremes available for boldness"
CD014,EG009,EX012,ES0054,Lichtenstein,2016,Behavioral Ecology and Sociobiology,western black widow,Latrodectus hesperus,arachnid,wild,lab,female,adult,Mature females',quantity,restrict,49,3,control,yes (body condition),control_HC4,high (3 prey per week) low (0.33 prey per week),adult,unknown,aggressive response (novel object),proportion attacking,novelobject_response,proportion (treatment level),yes,"object (piece of paper) introduced to web, time to attack/ proportion attacking the object recorded",24,0.32661699,0.163725209,0.033420268,,30,0.272131148,0.16162305,0.029508197,,,,,,S0050,30,0.272131148,0.16162305,positive,no,Figure 2b,figure,exclude_all,paper subject to retraction,"Data for agressiveness extracted from all comparisons, only extremes available for boldness"
CD014,EG009,EX012,ES0055,Lichtenstein,2016,Behavioral Ecology and Sociobiology,western black widow,Latrodectus hesperus,arachnid,wild,lab,female,adult,Mature females',quantity,restrict,49,3,control,yes (body condition),control_HC4,high (3 prey per week) low (0.33 prey per week),adult,unknown,aggressive response (novel object),proportion attacking,novelobject_response,proportion (treatment level),yes,"object (piece of paper) introduced to web, time to attack/ proportion attacking the object recorded",24,0.370320417,0.176319455,0.035991058,,30,0.272131148,0.16162305,0.029508197,,,,,,S0050,30,0.272131148,0.16162305,positive,no,Figure 2b,figure,exclude_all,paper subject to retraction,"Data for agressiveness extracted from all comparisons, only extremes available for boldness"
CD014,EG009,EX013,ES0056,Lichtenstein,2016,Behavioral Ecology and Sociobiology,western black widow,Latrodectus hesperus,arachnid,wild,lab,female,adult,Mature females',quantity,restrict,49,3,control,yes (body condition),no,high (3 prey per week) low (0.33 prey per week),adult,unknown,predator response,latency to move,predation_response,sec,yes,"wind blown on spider (simulated predator attack), time taken to begin moving after 'death feign' response",30,,,,,30,,,,,z,0.605,,0.052,S0051,NA,NA,NA,negative,no,Table 1,table,exclude_all,paper subject to retraction,"Data for agressiveness extracted from all comparisons, only extremes available for boldness"
CD014,EG010,EX014,ES0057,Lichtenstein,2016,Behavioral Ecology and Sociobiology,communal spider,Anelosimus studiosus,arachnid,wild,lab,female,adult,Mature females',quantity,restrict,49,3,control,yes (body condition),control_HC3,high (2 prey per week) low (0.33 prey per week),adult,unknown,aggressive response (novel object),inverse latency to attack,novelobject_response,sec,yes,"object (piece of paper) introduced to web, time to attack the object recorded",14,213.5443038,43.10010408,11.51898734,,26,208.2278481,45.18118556,8.860759494,,,,,,S0052,26,208.2278481,45.18118556,positive,no,Figure 2c,figure,exclude_all,paper subject to retraction,"Data for agressiveness extracted from all comparisons, only extremes available for boldness"
CD014,EG010,EX014,ES0058,Lichtenstein,2016,Behavioral Ecology and Sociobiology,communal spider,Anelosimus studiosus,arachnid,wild,lab,female,adult,Mature females',quantity,restrict,49,3,control,yes (body condition),control_HC3,high (2 prey per week) low (0.33 prey per week),adult,unknown,aggressive response (novel object),inverse latency to attack,novelobject_response,sec,yes,"object (piece of paper) introduced to web, time to attack the object recorded",24,221.8049482,40.84362068,8.33716916,,26,208.2278481,45.18118556,8.860759494,,,,,,S0052,26,208.2278481,45.18118556,positive,no,Figure 2c,figure,exclude_all,paper subject to retraction,"Data for agressiveness extracted from all comparisons, only extremes available for boldness"
CD014,EG010,EX014,ES0059,Lichtenstein,2016,Behavioral Ecology and Sociobiology,communal spider,Anelosimus studiosus,arachnid,wild,lab,female,adult,Mature females',quantity,restrict,49,3,control,yes (body condition),control_HC3,high (2 prey per week) low (0.33 prey per week),adult,unknown,aggressive response (novel object),inverse latency to attack,novelobject_response,sec,yes,"object (piece of paper) introduced to web, time to attack the object recorded",24,164.1395282,51.05452585,10.42146145,,26,208.2278481,45.18118556,8.860759494,,,,,,S0052,26,208.2278481,45.18118556,positive,no,Figure 2c,figure,exclude_all,paper subject to retraction,"Data for agressiveness extracted from all comparisons, only extremes available for boldness"
CD014,EG010,EX015,ES0060,Lichtenstein,2016,Behavioral Ecology and Sociobiology,communal spider,Anelosimus studiosus,arachnid,wild,lab,female,adult,Mature females',quantity,restrict,49,3,control,yes (body condition),no,high (2 prey per week) low (0.33 prey per week),adult,unknown,predator response,latency to move,predation_response,sec,yes,"wind blown on spider (simulated predator attack), time taken to begin moving after 'death feign' response",14,,,,,26,,,,,z,0.272,,0.775,S0053,NA,NA,NA,negative,no,Table 1,table,exclude_all,paper subject to retraction,"Data for agressiveness extracted from all comparisons, only extremes available for boldness"
