"","StudyID","Source","EffectSizesFromPublication","EffectSizesIncludedinAnalysis","Extraction.Complete","GroupID","ExperimentID","EffectID","Author","Year","Journal","SpeciesCom","SpeciesSci","Class","WildLabRear","WildLabExp","Sex","ManipLifeStage","ManipType","ManipDirection","ManipDuration","ManipOffset","ManipPostDiet","ManipConditionEffect","ManipGroups","ExpLifeStage","ExpType","ExpVar","RiskContext","ExpVarUnit","nLC","meanLC","sdLC","seLC","CILC","nHC","meanHC","sdHC","seHC","CIHC","TestStatType","TestStatValue","df","P","SharedGroup","SharedN","Sharedmean","Sharedsd","RiskEffectDirection","Marginalised","DataLocation","DataPresentation","Exclude","ExclusionReason","MaxLongevity","MaxLongevitySource","RelativeTimeFromTreatment","lnMaxLongevity","RelativeManipDuration"
"71","CD031","SearchQuery","yes","yes","yes","EG016","EX021","ES0071","Amo","2007","Physiology and Behavior","Iberian rock lizard","Iberolacerta cyreni","reptile","wild","lab","male","adult","quantity","restrict",10,0,"control","yes (body mass, parasite load)","no","adult","predator response","latency to emerge","predation_response","sec","10","121.1067194","94.99332102","30.03952569",NA,"10","196.2055336","189.986642","60.07905138",NA,"","",NA,"","S0064",NA,NA,NA,"negative","no","Figure 3b","figure","","",NA,NA,NA,NA,NA
"72","CD033","SearchQuery","yes","yes","yes","EG017","EX022","ES0075","Andrews","2018","Behavioral Ecology","European starling","Sturnus vulgaris","bird","wild","lab","female","juvenile","quantity","restrict",10,307.3333333,"control","yes (body mass)","no","adult","risk sensitive foraging","proportion of risky choices","other","proportion (individual)","4","0.535309412","0.21555621","",NA,"11","0.536589164","0.120074607","",NA,"","",NA,"","S0068",NA,NA,NA,"positive","no","CD033_Andrews et al Supplementary material (data) risk task.csv","raw","","",6916.75,"systematic",0.0444331995951856,8.84170128511093,0.0014457657136661
"75","CD033","SearchQuery","yes","yes","yes","EG017","EX022","ES0072","Andrews","2018","Behavioral Ecology","European starling","Sturnus vulgaris","bird","wild","lab","male","juvenile","quantity","restrict",10,322.4666667,"control","yes (body mass)","no","adult","risk sensitive foraging","proportion of risky choices","other","proportion (individual)","10","0.588652748","0.077595635","",NA,"5","0.523984418","0.0557095","",NA,"","",NA,"","S0065",NA,NA,NA,"positive","no","CD033_Andrews et al Supplementary material (data) risk task.csv","raw","","",6916.75,"systematic",0.0466211250515054,8.84170128511093,0.0014457657136661
"78","CD042","SearchQuery","yes","yes","yes","EG224A","EX279","ES0079","Aubret","2007","Amphibia Reptilia","tiger snake","Notechis scutatus","reptile","lab","lab","female","juvenile","quantity","restrict",136.875,0,"continuous","yes (mass, length, condition, SVL)","no","juvenile","foraging under predation risk","proportion that fed voluntarily at least once","predation_feeding","proportion (treatment level)","4","1","0","",NA,"6","0.5","0.204124145","",NA,"","",NA,"","S0072",NA,NA,NA,"positive","no","CD042_data feeding under stress","author correspondence","exclude_lncvr","group level proportional data",5146.5,"systematic",0,8.54607215096661,0.0265957446808511
"79","CD042","SearchQuery","yes","yes","yes","EG224A","EX279","ES0082","Aubret","2007","Amphibia Reptilia","tiger snake","Notechis scutatus","reptile","lab","lab","female","juvenile","quantity","restrict",136.875,0,"continuous","yes (mass, length, condition, SVL)","no","juvenile","foraging under predation risk","proportion of prey voluntarily bitten","predation_feeding","proportion individual","4","0.41653934","0.1285019","",NA,"6","0.02873563","0.0403119","",NA,"","",NA,"","S0075",NA,NA,NA,"positive","no","CD042_data feeding under stress","author correspondence","","",5146.5,"systematic",0,8.54607215096661,0.0265957446808511
"80","CD042","SearchQuery","yes","yes","yes","EG224B","EX280","ES0080","Aubret","2007","Amphibia Reptilia","tiger snake","Notechis scutatus","reptile","lab","lab","male","juvenile","quantity","restrict",136.875,0,"continuous","yes (mass, length, condition, SVL)","no","juvenile","foraging under predation risk","proportion that fed voluntarily at least once","predation_feeding","proportion (treatment level)","6","1","0","",NA,"5","0.2","0.178885438","",NA,"","",NA,"","S0073",NA,NA,NA,"positive","no","CD042_data feeding under stress","author correspondence","exclude_lncvr","group level proportional data",5146.5,"systematic",0,8.54607215096661,0.0265957446808511
"81","CD042","SearchQuery","yes","yes","yes","EG224B","EX280","ES0083","Aubret","2007","Amphibia Reptilia","tiger snake","Notechis scutatus","reptile","lab","lab","male","juvenile","quantity","restrict",136.875,0,"continuous","yes (mass, length, condition, SVL)","no","juvenile","foraging under predation risk","proportion of prey voluntarily bitten","predation_feeding","proportion individual","6","0.4449495","0.19841134","",NA,"5","0.016","0.03577709","",NA,"","",NA,"","S0076",NA,NA,NA,"positive","no","CD042_data feeding under stress","author correspondence","","",5146.5,"systematic",0,8.54607215096661,0.0265957446808511
"92","CD045","SearchQuery","partial","partial","yes","EG019","EX024","ES0098","Barber","1995","Journal of Fish Biology","three-spined stickleback","Gasterosteus aculeatus","ray-finned fish","wild","lab","unknown","adult","starvation","restrict",1,0,"continuous","unknown","control_HC2","adult","novel environment","distance explored","novelenvironment_exploration","zones explored","99","3.696969697","1.073374856","",NA,"99","2.515151515","1.335264526","",NA,"","",NA,"","S0084",99,2.515151515,1.335264526,"positive","no","Figure 6a-c","figure","","",2920,"systematic",0,7.97933889526233,0.000342465753424658
"93","CD045","SearchQuery","partial","partial","yes","EG019","EX024","ES0099","Barber","1995","Journal of Fish Biology","three-spined stickleback","Gasterosteus aculeatus","ray-finned fish","wild","lab","unknown","adult","starvation","restrict",2,0,"continuous","unknown","control_HC2","adult","novel environment","distance explored","novelenvironment_exploration","zones explored","101","3.930693069","1.070116122","",NA,"99","2.515151515","1.335264526","",NA,"","",NA,"","S0084",99,2.515151515,1.335264526,"positive","no","Figure 6a-c","figure","","",2920,"systematic",0,7.97933889526233,0.000684931506849315
"98","CD045","SearchQuery","partial","partial","yes","EG018","EX023","ES0088","Barber","1995","Journal of Fish Biology","minnow","Phoxinus phoxinus","ray-finned fish","wild","lab","unknown","unknown/mixed","starvation","restrict",1,0,"continuous","unknown","control_HC2","unknown","novel environment","distance explored","novelenvironment_exploration","zones explored","99","2.565656566","1.591826163","",NA,"100","1.32","0.583960702","",NA,"","",NA,"","S0079",100,1.32,0.583960702,"positive","no","Figure 6a-c","figure","","",4015,"systematic",0,8.29779262638086,0.00024906600249066
"99","CD045","SearchQuery","partial","partial","yes","EG018","EX023","ES0089","Barber","1995","Journal of Fish Biology","minnow","Phoxinus phoxinus","ray-finned fish","wild","lab","unknown","unknown/mixed","starvation","restrict",2,0,"continuous","unknown","control_HC2","unknown","novel environment","distance explored","novelenvironment_exploration","zones explored","99","3.434343434","1.294900644","",NA,"100","1.32","0.583960702","",NA,"","",NA,"","S0079",100,1.32,0.583960702,"positive","no","Figure 6a-c","figure","","",4015,"systematic",0,8.29779262638086,0.00049813200498132
"100","CD046","SearchQuery","no","yes","yes","EG020","EX025","ES0100","Baatrup","2006","Entomologia Experimentalis et Applicata","killer mite","Hypoaspis aculeifer","arachnid","lab","lab","female","adult","starvation","restrict",3,1,"starvation","unknown","control_HC4","adult","predator response","proportion of time moving","predation_response","proportion (individual)","30","0.784366577","0.191924346","0.035040431",NA,"30","0.919137466","0.073817056","0.013477089",NA,"","",NA,"","S0085",30,0.919137466,0.073817056,"positive","no","Figure 3a","figure","","",160.9,"non-systematic",0.00621504039776258,5.08078305399834,0.0186451211932878
"101","CD046","SearchQuery","no","yes","yes","EG020","EX025","ES0101","Baatrup","2006","Entomologia Experimentalis et Applicata","killer mite","Hypoaspis aculeifer","arachnid","lab","lab","female","adult","starvation","restrict",6,1,"starvation","unknown","control_HC4","adult","predator response","proportion of time moving","predation_response","proportion (individual)","30","0.704851752","0.191924346","0.035040431",NA,"30","0.919137466","0.073817056","0.013477089",NA,"","",NA,"","S0085",30,0.919137466,0.073817056,"positive","no","Figure 3a","figure","","",160.9,"non-systematic",0.00621504039776258,5.08078305399834,0.0372902423865755
"102","CD046","SearchQuery","no","yes","yes","EG020","EX025","ES0102","Baatrup","2006","Entomologia Experimentalis et Applicata","killer mite","Hypoaspis aculeifer","arachnid","lab","lab","female","adult","starvation","restrict",21,1,"starvation","unknown","control_HC4","adult","predator response","proportion of time moving","predation_response","proportion (individual)","30","0.770889488","0.132870701","0.02425876",NA,"30","0.919137466","0.073817056","0.013477089",NA,"","",NA,"","S0085",30,0.919137466,0.073817056,"positive","no","Figure 3a","figure","","",160.9,"non-systematic",0.00621504039776258,5.08078305399834,0.130515848353014
"103","CD046","SearchQuery","no","yes","yes","EG020","EX025","ES0103","Baatrup","2006","Entomologia Experimentalis et Applicata","killer mite","Hypoaspis aculeifer","arachnid","lab","lab","female","adult","starvation","restrict",59,1,"starvation","unknown","control_HC4","adult","predator response","proportion of time moving","predation_response","proportion (individual)","30","0.553908356","0.332176753","0.0606469",NA,"30","0.919137466","0.073817056","0.013477089",NA,"","",NA,"","S0085",30,0.919137466,0.073817056,"positive","no","Figure 3a","figure","","",160.9,"non-systematic",0.00621504039776258,5.08078305399834,0.366687383467993
"104","CD046","SearchQuery","no","yes","yes","EG020","EX025","ES0104","Baatrup","2006","Entomologia Experimentalis et Applicata","killer mite","Hypoaspis aculeifer","arachnid","lab","lab","female","adult","starvation","restrict",3,1,"starvation","unknown","control_HC4","adult","predator response","average speed","predation_response","mm per sec","30","0.750181818","0.197180121","0.036",NA,"30","0.997818182","0.322658379","0.058909091",NA,"","",NA,"","S0086",30,0.997818182,0.322658379,"positive","no","Figure 3b","figure","","",160.9,"non-systematic",0.00621504039776258,5.08078305399834,0.0186451211932878
"105","CD046","SearchQuery","no","yes","yes","EG020","EX025","ES0105","Baatrup","2006","Entomologia Experimentalis et Applicata","killer mite","Hypoaspis aculeifer","arachnid","lab","lab","female","adult","starvation","restrict",6,1,"starvation","unknown","control_HC4","adult","predator response","average speed","predation_response","mm per sec","30","0.921454545","0.460086948","0.084",NA,"30","0.997818182","0.322658379","0.058909091",NA,"","",NA,"","S0086",30,0.997818182,0.322658379,"positive","no","Figure 3b","figure","","",160.9,"non-systematic",0.00621504039776258,5.08078305399834,0.0372902423865755
"106","CD046","SearchQuery","no","yes","yes","EG020","EX025","ES0106","Baatrup","2006","Entomologia Experimentalis et Applicata","killer mite","Hypoaspis aculeifer","arachnid","lab","lab","female","adult","starvation","restrict",21,1,"starvation","unknown","control_HC4","adult","predator response","average speed","predation_response","mm per sec","30","1","0.33460869","0.061090909",NA,"30","0.997818182","0.322658379","0.058909091",NA,"","",NA,"","S0086",30,0.997818182,0.322658379,"positive","no","Figure 3b","figure","","",160.9,"non-systematic",0.00621504039776258,5.08078305399834,0.130515848353014
"107","CD046","SearchQuery","no","yes","yes","EG020","EX025","ES0107","Baatrup","2006","Entomologia Experimentalis et Applicata","killer mite","Hypoaspis aculeifer","arachnid","lab","lab","female","adult","starvation","restrict",59,1,"starvation","unknown","control_HC4","adult","predator response","average speed","predation_response","mm per sec","30","0.900727273","0.382409931","0.069818182",NA,"30","0.997818182","0.322658379","0.058909091",NA,"","",NA,"","S0086",30,0.997818182,0.322658379,"positive","no","Figure 3b","figure","","",160.9,"non-systematic",0.00621504039776258,5.08078305399834,0.366687383467993
"108","CD046","SearchQuery","no","yes","yes","EG020","EX025","ES0108","Baatrup","2006","Entomologia Experimentalis et Applicata","killer mite","Hypoaspis aculeifer","arachnid","lab","lab","female","adult","starvation","restrict",3,1,"starvation","unknown","control_HC4","adult","predator response","average path length","predation_response","mm","30","404.6875","385.1174232","70.3125",NA,"30","570.3125","539.1643925","98.4375",NA,"","",NA,"","S0087",30,570.3125,539.1643925,"positive","no","Figure 3c","figure","","",160.9,"non-systematic",0.00621504039776258,5.08078305399834,0.0186451211932878
"109","CD046","SearchQuery","no","yes","yes","EG020","EX025","ES0109","Baatrup","2006","Entomologia Experimentalis et Applicata","killer mite","Hypoaspis aculeifer","arachnid","lab","lab","female","adult","starvation","restrict",6,1,"starvation","unknown","control_HC4","adult","predator response","average path length","predation_response","mm","30","518.75","393.6755882","71.875",NA,"30","570.3125","539.1643925","98.4375",NA,"","",NA,"","S0087",30,570.3125,539.1643925,"positive","no","Figure 3c","figure","","",160.9,"non-systematic",0.00621504039776258,5.08078305399834,0.0372902423865755
"110","CD046","SearchQuery","no","yes","yes","EG020","EX025","ES0110","Baatrup","2006","Entomologia Experimentalis et Applicata","killer mite","Hypoaspis aculeifer","arachnid","lab","lab","female","adult","starvation","restrict",21,1,"starvation","unknown","control_HC4","adult","predator response","average path length","predation_response","mm","30","643.75","504.9317327","92.1875",NA,"30","570.3125","539.1643925","98.4375",NA,"","",NA,"","S0087",30,570.3125,539.1643925,"positive","no","Figure 3c","figure","","",160.9,"non-systematic",0.00621504039776258,5.08078305399834,0.130515848353014
"111","CD046","SearchQuery","no","yes","yes","EG020","EX025","ES0111","Baatrup","2006","Entomologia Experimentalis et Applicata","killer mite","Hypoaspis aculeifer","arachnid","lab","lab","female","adult","starvation","restrict",59,1,"starvation","unknown","control_HC4","adult","predator response","average path length","predation_response","mm","30","278.125","342.3265984","62.5",NA,"30","570.3125","539.1643925","98.4375",NA,"","",NA,"","S0087",30,570.3125,539.1643925,"positive","no","Figure 3c","figure","","",160.9,"non-systematic",0.00621504039776258,5.08078305399834,0.366687383467993
"112","CD046","SearchQuery","no","yes","yes","EG020","EX025","ES0112","Baatrup","2006","Entomologia Experimentalis et Applicata","killer mite","Hypoaspis aculeifer","arachnid","lab","lab","female","adult","starvation","restrict",59,1,"starvation","unknown","control_HC4","adult","predator response","contact frequency (number of contacts before feeding)","predation_feeding","log count per sec","30","-2.285817308","0.50032349","0.091346154",NA,"30","-1.986538462","0.526656305","0.096153846",NA,"","",NA,"","S0088",30,-1.986538462,0.526656305,"negative","no","Figure 3c","figure","exclude_lnrr","non-ratio scale data",160.9,"non-systematic",0.00621504039776258,5.08078305399834,0.366687383467993
"113","CD046","SearchQuery","no","yes","yes","EG020","EX025","ES0113","Baatrup","2006","Entomologia Experimentalis et Applicata","killer mite","Hypoaspis aculeifer","arachnid","lab","lab","female","adult","starvation","restrict",59,1,"starvation","unknown","control_HC4","adult","predator response","contact frequency (number of contacts before feeding)","predation_feeding","log count per sec","30","-2.211298077","0.329160191","0.060096154",NA,"30","-1.986538462","0.526656305","0.096153846",NA,"","",NA,"","S0088",30,-1.986538462,0.526656305,"negative","no","Figure 3c","figure","exclude_lnrr","non-ratio scale data",160.9,"non-systematic",0.00621504039776258,5.08078305399834,0.366687383467993
